Uraarachne brevipes (Simon, 1886) | Uruguay
Uraarachne ceratophrys Grismado & Achitte-Schmutzler, 2020 | Argentina
Uraarachne cornuta (Simon, 1886) | Paraguay, Uruguay, Argentina
Uraarachne kapiity Grismado & Achitte-Schmutzler, 2020 | Paraguay, Argentina
Uraarachne longa Keyserling, 1880 | Brazil, Paraguay
Uraarachne panthera Grismado & Achitte-Schmutzler, 2020 | Argentina
Uraarachne plana (Simon, 1895) | Paraguay, Argentina
Uraarachne runcinioides (Simon, 1886) | Uruguay, Argentina
Uraarachne toro Grismado & Achitte-Schmutzler, 2020 | Argentina
Uraarachne variegata (Mello-Leitão, 1941) | Paraguay, Argentina
Uraarachne vittata (Caporiacco, 1954) | French Guiana
Wechselia steinbachi Dahl, 1907 | Argentina
Xysticus advectus O. Pickard-Cambridge, 1890 | Guatemala, Costa Rica
Xysticus apertus Banks, 1898 | Mexico
Xysticus aztecus Gertsch, 1953 | Mexico
Xysticus bolivari Gertsch, 1953 | Mexico
Xysticus bradti Gertsch, 1953 | Mexico
Xysticus californicus Keyserling, 1880 | USA, Mexico
Xysticus curtus Banks, 1898 | Mexico
Xysticus facetus O. Pickard-Cambridge, 1896 | Mexico to El Salvador
Xysticus federalis Gertsch, 1953 | Mexico
Xysticus ghigii Caporiacco, 1938 | Mexico
Xysticus gracilis Keyserling, 1880 | Colombia
Xysticus lassanus Chamberlin, 1925 | USA, Mexico
Xysticus lutzi Gertsch, 1935 | USA, Mexico
Xysticus orizaba Banks, 1898 | Mexico
Xysticus paiutus Gertsch, 1933 | USA, Mexico
Xysticus pearcei Schick, 1965 | USA, Mexico
Xysticus pulcherrimus Keyserling, 1880 | Colombia
Xysticus robinsoni Gertsch, 1953 | USA, Mexico
Xysticus rockefelleri Gertsch, 1953 | Mexico
Xysticus silvestrii Simon, 1905 | Argentina
Xysticus spiethi Gertsch, 1953 | Mexico
Xysticus texanus Banks, 1904 | USA, Mexico
Xysticus toltecus Gertsch, 1953 | Mexico
Xysticus verecundus Gertsch, 1934 | Mexico
Xysticus wagneri Gertsch, 1953 | Mexico
